Participant_Code,Outage_Reason,Year,Total_Number_Outages,Average_Outage_Duration_In_Days,Risk_Classification
TSLA_MGT,Scheduled (Planned),2017,28,0.99,N/A
TSLA_MGT,Consequential,2016,30,0.44,N/A
TSLA_MGT,Consequential,2017,23,0.34,N/A
TSLA_MGT,Forced,2017,4,0.31,Low Risk
TSLA_MGT,Forced,2016,2,0.25,Low Risk
WGUTD,Scheduled (Planned),2017,1,10.58,N/A
WGUTD,Forced,2017,8,3.44,High Risk
WGUTD,Consequential,2016,6,1.99,N/A
WGUTD,Opportunistic Maintenance (Planned),2016,1,0.6,N/A
WGUTD,Opportunistic Maintenance (Planned),2017,2,0.05,N/A
WGUTD,Consequential,2017,1,0.04,N/A
WGUTD,Forced,2016,2,0.02,Low Risk
